team1,team2,winner
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
Delhi Capitals,Rajasthan Royals,Delhi Capitals
Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
Deccan Chargers,Delhi Capitals,Delhi Capitals
Chennai Super Kings,Mumbai Indians,Chennai Super Kings
Deccan Chargers,Rajasthan Royals,Chennai Super Kings
Kings XI Punjab,Mumbai Indians,Kings XI Punjab
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
Kings XI Punjab,Delhi Capitals,Kings XI Punjab
Mumbai Indians,Deccan Chargers,Deccan Chargers
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
Deccan Chargers,Kings XI Punjab,Kings XI Punjab
Chennai Super Kings,Delhi Capitals,Delhi Capitals
Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
Mumbai Indians,Delhi Capitals,Mumbai Indians
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
Chennai Super Kings,Deccan Chargers,Deccan Chargers
Mumbai Indians,Rajasthan Royals,Mumbai Indians
Delhi Capitals,Chennai Super Kings,Chennai Super Kings
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
Rajasthan Royals,Deccan Chargers,Rajasthan Royals
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
Rajasthan Royals,Delhi Capitals,Rajasthan Royals
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
Mumbai Indians,Chennai Super Kings,Mumbai Indians
Delhi Capitals,Deccan Chargers,Delhi Capitals
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
Delhi Capitals,Kings XI Punjab,Kings XI Punjab
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
Deccan Chargers,Mumbai Indians,Mumbai Indians
Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
Mumbai Indians,Kings XI Punjab,Kings XI Punjab
Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
Delhi Capitals,Kolkata Knight Riders,Match abandoned
Kings XI Punjab,Deccan Chargers,Kings XI Punjab
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
Delhi Capitals,Mumbai Indians,Delhi Capitals
Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
Rajasthan Royals,Mumbai Indians,Rajasthan Royals
Deccan Chargers,Chennai Super Kings,Chennai Super Kings
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
Delhi Capitals,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Mumbai Indians
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
Delhi Capitals,Kings XI Punjab,Delhi Capitals
Deccan Chargers,Kolkata Knight Riders,Deccan Chargers
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
Mumbai Indians,Rajasthan Royals,Match abandoned
Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers
Chennai Super Kings,Delhi Capitals,Delhi Capitals
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
Deccan Chargers,Mumbai Indians,Deccan Chargers
Chennai Super Kings,Kolkata Knight Riders,Match abandoned
Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
Chennai Super Kings,Deccan Chargers,Deccan Chargers
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
Delhi Capitals,Rajasthan Royals,Rajasthan Royals
Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
Deccan Chargers,Delhi Capitals,Delhi Capitals
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
Deccan Chargers,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Delhi Capitals,Chennai Super Kings
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
Chennai Super Kings,Deccan Chargers,Chennai Super Kings
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
Delhi Capitals,Kolkata Knight Riders,Delhi Capitals
Deccan Chargers,Mumbai Indians,Deccan Chargers
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
Delhi Capitals,Mumbai Indians,Delhi Capitals
Deccan Chargers,Kings XI Punjab,Kings XI Punjab
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
Delhi Capitals,Kolkata Knight Riders,Delhi Capitals
Deccan Chargers,Rajasthan Royals,Deccan Chargers
Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
Kings XI Punjab,Mumbai Indians,Mumbai Indians
Deccan Chargers,Delhi Capitals,Delhi Capitals
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
Mumbai Indians,Rajasthan Royals,Rajasthan Royals
Delhi Capitals,Kings XI Punjab,Kings XI Punjab
Chennai Super Kings,Mumbai Indians,Chennai Super Kings
Deccan Chargers,Kolkata Knight Riders,Deccan Chargers
Deccan Chargers,Kings XI Punjab,Kings XI Punjab
Delhi Capitals,Rajasthan Royals,Delhi Capitals
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
Delhi Capitals,Mumbai Indians,Delhi Capitals
Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore
Delhi Capitals,Deccan Chargers,Deccan Chargers
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers
Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
Mumbai Indians,Rajasthan Royals,Mumbai Indians
Kings XI Punjab,Delhi Capitals,Delhi Capitals
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
Chennai Super Kings,Deccan Chargers,Deccan Chargers
Rajasthan Royals,Delhi Capitals,Delhi Capitals
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
Delhi Capitals,Mumbai Indians,Mumbai Indians
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
Delhi Capitals,Chennai Super Kings,Chennai Super Kings
Deccan Chargers,Kings XI Punjab,Deccan Chargers
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
Deccan Chargers,Delhi Capitals,Deccan Chargers
Chennai Super Kings,Kings XI Punjab,Match tied
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals
Mumbai Indians,Chennai Super Kings,Mumbai Indians
Rajasthan Royals,Deccan Chargers,Rajasthan Royals
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
Deccan Chargers,Mumbai Indians,Mumbai Indians
Delhi Capitals,Kolkata Knight Riders,Delhi Capitals
Mumbai Indians,Kings XI Punjab,Mumbai Indians
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
Delhi Capitals,Rajasthan Royals,Delhi Capitals
Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
Mumbai Indians,Deccan Chargers,Mumbai Indians
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals
Deccan Chargers,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Chennai Super Kings
Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers
Kings XI Punjab,Mumbai Indians,Kings XI Punjab
Deccan Chargers,Chennai Super Kings,Deccan Chargers
Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
Delhi Capitals,Kings XI Punjab,Kings XI Punjab
Rajasthan Royals,Mumbai Indians,Mumbai Indians
Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers
Mumbai Indians,Delhi Capitals,Mumbai Indians
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
Chennai Super Kings,Delhi Capitals,Delhi Capitals
Kings XI Punjab,Deccan Chargers,Deccan Chargers
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
Delhi Capitals,Deccan Chargers,Deccan Chargers
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
Chennai Super Kings,Deccan Chargers,Chennai Super Kings
Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore
Chennai Super Kings,Mumbai Indians,Chennai Super Kings
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
Deccan Chargers,Kings XI Punjab,Kings XI Punjab
Pune Warrsiors,Delhi Capitals,Delhi Capitals
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
Chennai Super Kings,Kochi Tuskers Kerala,Kochi Tuskers Kerala
Deccan Chargers,Delhi Capitals,Deccan Chargers
Royal Challengers Bangalore,Rajasthan Royals,Match abandoned
Pune Warrsiors,Mumbai Indians,Mumbai Indians
Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
Mumbai Indians,Chennai Super Kings,Mumbai Indians
Delhi Capitals,Kings XI Punjab,Delhi Capitals
Mumbai Indians,Deccan Chargers,Mumbai Indians
Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Pune Warrsiors,Chennai Super Kings
Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore
Pune Warrsiors,Chennai Super Kings,Chennai Super Kings
Deccan Chargers,Kochi Tuskers Kerala,Deccan Chargers
Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
Mumbai Indians,Rajasthan Royals,Rajasthan Royals
Royal Challengers Bangalore,Pune Warrsiors,Royal Challengers Bangalore
Delhi Capitals,Kochi Tuskers Kerala,Delhi Capitals
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
Pune Warrsiors,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Deccan Chargers,Chennai Super Kings
Mumbai Indians,Kings XI Punjab,Mumbai Indians
Delhi Capitals,Kochi Tuskers Kerala,Kochi Tuskers Kerala
Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
Mumbai Indians,Pune Warrsiors,Mumbai Indians
Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala
Deccan Chargers,Delhi Capitals,Delhi Capitals
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
Mumbai Indians,Delhi Capitals,Mumbai Indians
Kochi Tuskers Kerala,Royal Challengers Bangalore,Royal Challengers Bangalore
Kings XI Punjab,Pune Warrsiors,Pune Warrsiors
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
Deccan Chargers,Pune Warrsiors,Pune Warrsiors
Kings XI Punjab,Mumbai Indians,Kings XI Punjab
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
Chennai Super Kings,Delhi Capitals,Chennai Super Kings
Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
Deccan Chargers,Mumbai Indians,Deccan Chargers
Kings XI Punjab,Delhi Capitals,Kings XI Punjab
Rajasthan Royals,Kochi Tuskers Kerala,Kochi Tuskers Kerala
Pune Warrsiors,Deccan Chargers,Deccan Chargers
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings
Pune Warrsiors,Kolkata Knight Riders,Kolkata Knight Riders
Mumbai Indians,Rajasthan Royals,Rajasthan Royals
Deccan Chargers,Kings XI Punjab,Deccan Chargers
Delhi Capitals,Pune Warrsiors,Match abandoned
Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,Mumbai Indians
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals
Mumbai Indians,Pune Warrsiors,Pune Warrsiors
Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore
Deccan Chargers,Chennai Super Kings,Chennai Super Kings
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
Pune Warrsiors,Kings XI Punjab,Pune Warrsiors
Deccan Chargers,Mumbai Indians,Mumbai Indians
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
Delhi Capitals,Chennai Super Kings,Delhi Capitals
Mumbai Indians,Rajasthan Royals,Mumbai Indians
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
Kings XI Punjab,Pune Warrsiors,Kings XI Punjab
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
Pune Warrsiors,Chennai Super Kings,Pune Warrsiors
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
Mumbai Indians,Delhi Capitals,Delhi Capitals
Rajasthan Royals,Deccan Chargers,Rajasthan Royals
Royal Challengers Bangalore,Pune Warrsiors,Royal Challengers Bangalore
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
Delhi Capitals,Deccan Chargers,Delhi Capitals
Chennai Super Kings,Pune Warrsiors,Chennai Super Kings
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
Delhi Capitals,Pune Warrsiors,Pune Warrsiors
Mumbai Indians,Kings XI Punjab,Kings XI Punjab
Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
Pune Warrsiors,Delhi Capitals,Delhi Capitals
Kolkata Knight Riders,Deccan Chargers,Match abandoned
Kings XI Punjab,Mumbai Indians,Mumbai Indians
Royal Challengers Bangalore,Chennai Super Kings,No result
Pune Warrsiors,Deccan Chargers,Deccan Chargers
Delhi Capitals,Mumbai Indians,Delhi Capitals
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
Delhi Capitals,Rajasthan Royals,Delhi Capitals
Mumbai Indians,Deccan Chargers,Mumbai Indians
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
Deccan Chargers,Pune Warrsiors,Deccan Chargers
Rajasthan Royals,Delhi Capitals,Delhi Capitals
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
Pune Warrsiors,Mumbai Indians,Mumbai Indians
Chennai Super Kings,Deccan Chargers,Chennai Super Kings
Kolkata Knight Riders,Pune Warrsiors,Kolkata Knight Riders
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
Mumbai Indians,Chennai Super Kings,Mumbai Indians
Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore
Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
Pune Warrsiors,Rajasthan Royals,Rajasthan Royals
Deccan Chargers,Kings XI Punjab,Kings XI Punjab
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
Deccan Chargers,Delhi Capitals,Delhi Capitals
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
Pune Warrsiors,Royal Challengers Bangalore,Royal Challengers Bangalore
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
Chennai Super Kings,Delhi Capitals,Chennai Super Kings
Rajasthan Royals,Pune Warrsiors,Rajasthan Royals
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
Delhi Capitals,Kings XI Punjab,Delhi Capitals
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab
Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore
Deccan Chargers,Rajasthan Royals,Deccan Chargers
Kings XI Punjab,Delhi Capitals,Delhi Capitals
Pune Warrsiors,Kolkata Knight Riders,Kolkata Knight Riders
Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers
Rajasthan Royals,Mumbai Indians,Mumbai Indians
Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
Mumbai Indians,Chennai Super Kings,Chennai Super Kings
Chennai Super Kings,Delhi Capitals,Chennai Super Kings
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
Sunrisers Hyderabad,Pune Warrsiors,Sunrisers Hyderabad
Delhi Capitals,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Mumbai Indians
Pune Warrsiors,Kings XI Punjab,Kings XI Punjab
Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
Mumbai Indians,Delhi Capitals,Mumbai Indians
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
Pune Warrsiors,Rajasthan Royals,Pune Warrsiors
Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad
Mumbai Indians,Pune Warrsiors,Mumbai Indians
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
Chennai Super Kings,Pune Warrsiors,Pune Warrsiors
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore
Pune Warrsiors,Sunrisers Hyderabad,Sunrisers Hyderabad
Rajasthan Royals,Mumbai Indians,Rajasthan Royals
Delhi Capitals,Chennai Super Kings,Chennai Super Kings
Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
Delhi Capitals,Mumbai Indians,Delhi Capitals
Kings XI Punjab,Pune Warrsiors,Kings XI Punjab
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
Royal Challengers Bangalore,Pune Warrsiors,Royal Challengers Bangalore
Delhi Capitals,Kings XI Punjab,Kings XI Punjab
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
Delhi Capitals,Pune Warrsiors,Delhi Capitals
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
Mumbai Indians,Kings XI Punjab,Mumbai Indians
Pune Warrsiors,Chennai Super Kings,Chennai Super Kings
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
Delhi Capitals,Kolkata Knight Riders,Delhi Capitals
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
Pune Warrsiors,Royal Challengers Bangalore,Royal Challengers Bangalore
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad
Mumbai Indians,Chennai Super Kings,Mumbai Indians
Rajasthan Royals,Pune Warrsiors,Rajasthan Royals
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
Rajasthan Royals,Delhi Capitals,Rajasthan Royals
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
Pune Warrsiors,Kolkata Knight Riders,Kolkata Knight Riders
Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore
Pune Warrsiors,Mumbai Indians,Mumbai Indians
Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
Chennai Super Kings,Delhi Capitals,Chennai Super Kings
Kolkata Knight Riders,Pune Warrsiors,Pune Warrsiors
Mumbai Indians,Rajasthan Royals,Mumbai Indians
